Subject,Collective Noun,Notes
A,,
alligators,congregation,
antelopes,herd,
ants,army,
,colony,
,nest,
,swarm,
apes,shrewdness,
,troop,
asses,herd,driven in a group
,drove,
,pace or passe,
B,,
baboons,troop,
badgers,cete,
bats,colony,
bears,sleuth or sloth,
beavers,colony,
,family,
bees,swarm,
,drift,
,erst,
,grist,
birds,flock,fanciful
,dissimulation,
,flight,
,pod,
bishops,bench,
bitterns,sedge or sege,
boars (wild boars),sounder,12 or more
boys,blush,
buffalo,herd,
bullfinches,bellowing,
bullocks,drove,driven in a group
butlers,draught,
butterflies,flutter,
,swarm,
buzzards,wake,
C,,
camels,caravan,
,flock,
,train,
capercaillie,tok,
capons,mews,
caribou,herd,
cats,clowder,destruction
,cluster or clutter,
,glaring,
,pounce,
,cats (wild cats),
caterpillars,army,
cattle,herd,
,drove,
chickens,brood,
,clutch,
,peep,
choughs,chattering or clattering,
cobblers,drunkenship or drunkship,
colts,rag,
,rake,
cormorants,gulp,
cooks,hastiness,
coots,covert,
coyotes,pack,
cranes,herd,
,sedge or sege,
crocodiles,bask,
,float,
crows,murder,
curlews,herd,
D,,
deer,herd,
,bunch,
,mob,
,parcel,
,rangale,
dogs,pack,
dogfish,troop,
dolphins,pod,
,school,
,team,
dotterel,trip,
doves,dole or dule,fanciful
,flight,
,piteousness,fanciful
ducks,flock,
,badling,
,brace,
,bunch,on water
,paddling,on water
,plump,
,raft,on water
,skein,in flight
,sord or sore,
,string,in flight
,team,in flight
,waddling,
dunlins,fling,
E,,
eagles,convocation,
eels,bed,
,swarm,
elephants,herd,
elk,gang,
emus,mob,
F,,
ferrets,business,corruption over time of 'busyness'
,busyness,
,fesnyng,
finches,charm or chirm,
fish,school,
,shoal,
flamingoes,stand,
flies,business,
,cloud,
,swarm,
foresters,stalk,
foxes,leash,
,skulk,
frogs,army,
G,,
geese,flock,on land
,gaggle,on land
,plump,flying close
,skein,in flight
,team,in flight
,wedge,in flight
giraffes,herd,
,corps,
,tower,
gnats,cloud,
,horde,
,rabble,
,swarm,
goats,flock,
,herd,
,tribe,
,trip or trippe,
gods,pantheon,See Pantheon
goldfinches,charm,
goosanders,dopping,
gorillas,band,
,whoop,
goshawks,flight,
grasshoppers,cloud,
,swarm,
grouse,covey,
,pack,
guineafowl,rasp,
H,,
hares,down,
,drove,
,flick,
,husk,
hawks,boil,two or more spiralling in flight
,cast,
,kettle,flying in large numbers
,lease,
harts,herd,
hedgehogs,array,
